cpd:C00001	cpd:H2O
cpd:C00002	cpd:ATP
cpd:C00003	cpd:NAD+
cpd:C00004	cpd:NADH
cpd:C00005	cpd:NADPH
cpd:C00006	cpd:NADP+
cpd:C00007	cpd:Oxygen
cpd:C00008	cpd:ADP
cpd:C00009	cpd:Orthophosphate
cpd:C00010	cpd:CoA
cpd:C00011	cpd:CO2
cpd:C00012	cpd:Peptide
cpd:C00013	cpd:Diphosphate
cpd:C00014	cpd:Ammonia
cpd:C00015	cpd:UDP
cpd:C00016	cpd:FAD
cpd:C00017	cpd:Protein
cpd:C00018	cpd:Pyridoxal phosphate
cpd:C00019	cpd:S-Adenosyl-L-methionine
cpd:C00020	cpd:AMP
cpd:C00021	cpd:S-Adenosyl-L-homocysteine
cpd:C00022	cpd:Pyruvate
cpd:C00023	cpd:Iron
cpd:C00024	cpd:Acetyl-CoA
cpd:C00025	cpd:L-Glutamate
cpd:C00026	cpd:2-Oxoglutarate
cpd:C00027	cpd:Hydrogen peroxide
cpd:C00028	cpd:Acceptor
cpd:C00029	cpd:UDP-glucose
cpd:C00030	cpd:Reduced acceptor
cpd:C00031	cpd:D-Glucose
cpd:C00032	cpd:Heme
cpd:C00033	cpd:Acetate
cpd:C00034	cpd:Manganese
cpd:C00035	cpd:GDP
cpd:C00036	cpd:Oxaloacetate
cpd:C00037	cpd:Glycine
cpd:C00038	cpd:Zinc cation
cpd:C00039	cpd:DNA
cpd:C00040	cpd:Acyl-CoA
cpd:C00041	cpd:L-Alanine
cpd:C00042	cpd:Succinate
cpd:C00043	cpd:UDP-N-acetyl-alpha-D-glucosamine
cpd:C00044	cpd:GTP
cpd:C00045	cpd:Amino acid
cpd:C00046	cpd:RNA
cpd:C00047	cpd:L-Lysine
cpd:C00048	cpd:Glyoxylate
cpd:C00049	cpd:L-Aspartate
cpd:C00050	cpd:Metal
cpd:C00051	cpd:Glutathione
cpd:C00052	cpd:UDP-alpha-D-galactose
cpd:C00053	cpd:3'-Phosphoadenylyl sulfate
cpd:C00054	cpd:Adenosine 3',5'-bisphosphate
cpd:C00055	cpd:CMP
cpd:C00058	cpd:Formate
cpd:C00059	cpd:Sulfate
cpd:C00060	cpd:Carboxylate
cpd:C00061	cpd:FMN
cpd:C00062	cpd:L-Arginine
cpd:C00063	cpd:CTP
cpd:C00064	cpd:L-Glutamine
cpd:C00065	cpd:L-Serine
cpd:C00066	cpd:tRNA
cpd:C00067	cpd:Formaldehyde
cpd:C00068	cpd:Thiamin diphosphate
cpd:C00069	cpd:Alcohol
cpd:C00070	cpd:Copper
cpd:C00071	cpd:Aldehyde
cpd:C00072	cpd:Ascorbate
cpd:C00073	cpd:L-Methionine
cpd:C00074	cpd:Phosphoenolpyruvate
cpd:C00075	cpd:UTP
cpd:C00076	cpd:Calcium cation
cpd:C00077	cpd:L-Ornithine
cpd:C00078	cpd:L-Tryptophan
cpd:C00079	cpd:L-Phenylalanine
cpd:C00080	cpd:H+
cpd:C00081	cpd:ITP
cpd:C00082	cpd:L-Tyrosine
cpd:C00083	cpd:Malonyl-CoA
cpd:C00084	cpd:Acetaldehyde
cpd:C00085	cpd:D-Fructose 6-phosphate
cpd:C00086	cpd:Urea
cpd:C00087	cpd:Sulfur
cpd:C00088	cpd:Nitrite
cpd:C00089	cpd:Sucrose
cpd:C00090	cpd:Catechol
cpd:C00091	cpd:Succinyl-CoA
cpd:C00092	cpd:D-Glucose 6-phosphate
cpd:C00093	cpd:sn-Glycerol 3-phosphate
cpd:C00094	cpd:Sulfite
cpd:C00095	cpd:D-Fructose
cpd:C00096	cpd:GDP-mannose
cpd:C00097	cpd:L-Cysteine
cpd:C00098	cpd:Oligopeptide
cpd:C00099	cpd:beta-Alanine
cpd:C00100	cpd:Propanoyl-CoA
cpd:C00101	cpd:Tetrahydrofolate
cpd:C00102	cpd:2,6-Dichloroindophenol
cpd:C00103	cpd:D-Glucose 1-phosphate
cpd:C00104	cpd:IDP
cpd:C00105	cpd:UMP
cpd:C00106	cpd:Uracil
cpd:C00107	cpd:Dipeptide
cpd:C00108	cpd:Anthranilate
cpd:C00109	cpd:2-Oxobutanoate
cpd:C00110	cpd:Dolichyl phosphate
cpd:C00111	cpd:Glycerone phosphate
cpd:C00112	cpd:CDP
cpd:C00113	cpd:PQQ
cpd:C00114	cpd:Choline
cpd:C00116	cpd:Glycerol
cpd:C00117	cpd:D-Ribose 5-phosphate
cpd:C00118	cpd:D-Glyceraldehyde 3-phosphate
cpd:C00119	cpd:5-Phospho-alpha-D-ribose 1-diphosphate
cpd:C00120	cpd:Biotin
cpd:C00121	cpd:D-Ribose
cpd:C00122	cpd:Fumarate
cpd:C00123	cpd:L-Leucine
cpd:C00124	cpd:D-Galactose
cpd:C00125	cpd:Ferricytochrome c
cpd:C00126	cpd:Ferrocytochrome c
cpd:C00127	cpd:Glutathione disulfide
cpd:C00128	cpd:CMP-N-acetylneuraminate
cpd:C00129	cpd:Isopentenyl diphosphate
cpd:C00130	cpd:IMP
cpd:C00131	cpd:dATP
cpd:C00132	cpd:Methanol
cpd:C00133	cpd:D-Alanine
cpd:C00134	cpd:Putrescine
cpd:C00135	cpd:L-Histidine
cpd:C00136	cpd:Butanoyl-CoA
cpd:C00137	cpd:myo-Inositol
cpd:C00138	cpd:Reduced ferredoxin
cpd:C00139	cpd:Oxidized ferredoxin
cpd:C00140	cpd:N-Acetyl-D-glucosamine
cpd:C00141	cpd:3-Methyl-2-oxobutanoic acid
cpd:C00143	cpd:5,10-Methylenetetrahydrofolate
cpd:C00144	cpd:GMP
cpd:C00145	cpd:Thiol
cpd:C00146	cpd:Phenol
cpd:C00147	cpd:Adenine
cpd:C00148	cpd:L-Proline
cpd:C00149	cpd:(S)-Malate
cpd:C00150	cpd:Molybdenum
cpd:C00151	cpd:L-Amino acid
cpd:C00152	cpd:L-Asparagine
