hsa:1	hsa:A1BG
hsa:10	hsa:NAT2
hsa:100	hsa:ADA
hsa:1000	hsa:CDH2
hsa:10000	hsa:AKT3
hsa:100008586	hsa:GAGE12F
hsa:100008587	hsa:RNA5-8SN5
hsa:100008588	hsa:RNA18SN5
hsa:100008589	hsa:RNA28SN5
hsa:10001	hsa:MED6
hsa:10002	hsa:NR2E3
hsa:10003	hsa:NAALAD2
hsa:100033411	hsa:DUXB
hsa:100033413	hsa:SNORD116-1
hsa:100033414	hsa:SNORD116-2
hsa:100033415	hsa:SNORD116-3
hsa:100033416	hsa:SNORD116-4
hsa:100033417	hsa:SNORD116-5
hsa:100033418	hsa:SNORD116-6
hsa:100033419	hsa:SNORD116-7
hsa:100033420	hsa:SNORD116-8
hsa:100033421	hsa:SNORD116-9
hsa:100033422	hsa:SNORD116-10
hsa:100033423	hsa:SNORD116-11
hsa:100033424	hsa:SNORD116-12
hsa:100033425	hsa:SNORD116-13
hsa:100033426	hsa:SNORD116-14
hsa:100033427	hsa:SNORD116-15
hsa:100033428	hsa:SNORD116-16
hsa:100033429	hsa:SNORD116-17
hsa:100033430	hsa:SNORD116-18
hsa:100033431	hsa:SNORD116-20
hsa:100033432	hsa:SNORD116-21
hsa:100033433	hsa:SNORD116-22
hsa:100033434	hsa:SNORD116-23
hsa:100033435	hsa:SNORD116-24
hsa:100033436	hsa:SNORD116-25
hsa:100033437	hsa:SNORD115-2
hsa:100033438	hsa:SNORD116-26
hsa:100033439	hsa:SNORD116-27
hsa:100033440	hsa:SNORD115-3
hsa:100033441	hsa:SNORD115-4
hsa:100033442	hsa:SNORD115-5
hsa:100033443	hsa:SNORD115-6
hsa:100033444	hsa:SNORD115-7
hsa:100033445	hsa:SNORD115-8
hsa:100033446	hsa:SNORD115-9
hsa:100033447	hsa:SNORD115-10
hsa:100033448	hsa:SNORD115-11
hsa:100033449	hsa:SNORD115-12
hsa:100033450	hsa:SNORD115-13
hsa:100033451	hsa:SNORD115-14
hsa:100033453	hsa:SNORD115-15
hsa:100033454	hsa:SNORD115-16
hsa:100033455	hsa:SNORD115-17
hsa:100033456	hsa:SNORD115-18
hsa:100033458	hsa:SNORD115-19
hsa:100033460	hsa:SNORD115-20
hsa:100033603	hsa:SNORD115-21
hsa:100033799	hsa:SNORD115-22
hsa:100033800	hsa:SNORD115-23
hsa:100033801	hsa:SNORD115-25
hsa:100033802	hsa:SNORD115-26
hsa:100033803	hsa:SNORD115-29
hsa:100033804	hsa:SNORD115-30
hsa:100033805	hsa:SNORD115-31
hsa:100033806	hsa:SNORD115-32
hsa:100033807	hsa:SNORD115-33
hsa:100033808	hsa:SNORD115-34
hsa:100033809	hsa:SNORD115-35
hsa:100033810	hsa:SNORD115-36
hsa:100033811	hsa:SNORD115-37
hsa:100033812	hsa:SNORD115-38
hsa:100033813	hsa:SNORD115-39
hsa:100033814	hsa:SNORD115-40
hsa:100033815	hsa:SNORD115-41
hsa:100033816	hsa:SNORD115-42
hsa:100033817	hsa:SNORD115-43
hsa:100033818	hsa:SNORD115-44
hsa:100033819	hsa:MIR675
hsa:100033820	hsa:SNORD116-28
hsa:100033821	hsa:SNORD116-29
hsa:100033822	hsa:SNORD115-48
hsa:100036563	hsa:SNORD115-24
hsa:100036564	hsa:SNORD115-27
hsa:100036565	hsa:SNORD115-28
hsa:100036566	hsa:SNORD115-45
hsa:100036567	hsa:SNORD115-47
hsa:100037417	hsa:DDTL
hsa:10004	hsa:NAALADL1
hsa:100049587	hsa:SIGLEC14
hsa:10005	hsa:ACOT8
hsa:10006	hsa:ABI1
hsa:10007	hsa:GNPDA1
hsa:10008	hsa:KCNE3
hsa:10009	hsa:ZBTB33
hsa:1001	hsa:CDH3
hsa:10010	hsa:TANK
hsa:100101267	hsa:POM121C
hsa:100101467	hsa:ZSCAN30
hsa:100101629	hsa:GAGE8
hsa:10011	hsa:SRA1
hsa:100113378	hsa:SNORD119
hsa:100113379	hsa:SNORD121A
hsa:100113380	hsa:SNORD125
hsa:100113381	hsa:SNORD19B
hsa:100113382	hsa:SNORD105B
hsa:100113384	hsa:SNORD123
hsa:100113389	hsa:SNORD127
hsa:100113391	hsa:SNORD126
hsa:100113392	hsa:SNORD11B
hsa:100113393	hsa:SNORD12B
hsa:100113402	hsa:SNORD111B
hsa:100113407	hsa:TMEM170B
hsa:100124516	hsa:SNORD58C
hsa:100124533	hsa:SCARNA27
hsa:100124534	hsa:SNORA84
hsa:100124535	hsa:SNORA36C
hsa:100124536	hsa:SNORA38B
hsa:100124537	hsa:SNORA70B
hsa:100124538	hsa:SNORA70C
hsa:100124539	hsa:SNORA11B
hsa:100124540	hsa:SNORA11C
hsa:100124541	hsa:SNORA11D
hsa:100125288	hsa:ZGLP1
hsa:100126296	hsa:MIR298
hsa:100126297	hsa:MIR300
hsa:100126299	hsa:VTRNA2-1
hsa:100126301	hsa:MIR509-2
hsa:100126302	hsa:MIR450B
hsa:100126303	hsa:MIR890
hsa:100126304	hsa:MIR891B
hsa:100126306	hsa:MIR888
hsa:100126307	hsa:MIR892B
hsa:100126308	hsa:MIR541
hsa:100126309	hsa:MIR875
hsa:100126310	hsa:MIR876
hsa:100126311	hsa:MIR147B
hsa:100126313	hsa:MIR744
hsa:100126314	hsa:MIR877
hsa:100126315	hsa:MIR665
hsa:100126316	hsa:MIR873
hsa:100126317	hsa:MIR374B
hsa:100126318	hsa:MIR301B
hsa:100126319	hsa:MIR216B
hsa:100126320	hsa:MIR920
hsa:100126321	hsa:MIR922
hsa:100126323	hsa:MIR924
hsa:100126324	hsa:MIR934
hsa:100126325	hsa:MIR935
hsa:100126326	hsa:MIR936
hsa:100126327	hsa:MIR938
hsa:100126328	hsa:MIR940
